[8/13/17, 10:01:38 AM] Divya: Em dng
[8/14/17, 1:33:10 PM] Divya: Emi chechi
[8/14/17, 1:33:39 PM] Divya: Ohh
[8/14/17, 1:33:53 PM] Divya: Emi spcl
[8/14/17, 5:08:04 PM] Tejaswini: Pabbi
[8/14/17, 11:14:28 PM] Divya: Haa
[8/15/17, 1:40:02 PM] Tejaswini: Der pabbi
[8/15/17, 2:37:30 PM] Divya: Msg me
[8/15/17, 2:38:05 PM] Divya: Vanuku osthundhi naaku
[8/15/17, 2:39:22 PM] Divya: Der
[8/15/17, 2:39:30 PM] Tejaswini: Hahhaha endhaka by mistake cal vachindi
[8/15/17, 2:39:47 PM] Tejaswini: Ne bondha le em bhayapadalu
[8/15/17, 2:40:04 PM] Tejaswini: Pabbi paina pics lo oka pic lo super unnav
[8/15/17, 2:40:09 PM] Divya: Hmm..
[8/15/17, 2:40:14 PM] Divya: Edhi
[8/15/17, 2:40:47 PM] Tejaswini: Chala homely n near ga unnav
[8/15/17, 2:40:56 PM] Divya: Haaa Naaku nachindhe
[8/15/17, 2:41:22 PM] Divya: Asala matter cheppale
[8/15/17, 2:41:48 PM] Divya: Nenu ear rings konukundham anukuntna
[8/15/17, 2:41:59 PM] Divya: Any models
[8/15/17, 2:42:18 PM] Divya: Like buttalu and all
[8/15/17, 2:42:24 PM] Divya: Cz vi
[8/15/17, 2:42:50 PM] Tejaswini: Wait
[8/15/17, 2:42:59 PM] Tejaswini: Evala mrng ye chusa
[8/15/17, 2:43:06 PM] Divya: K
[8/15/17, 2:48:10 PM] Tejaswini: E typ kavala czts ante
[8/15/17, 2:49:36 PM] Divya: Yaa
[8/15/17, 2:51:40 PM] Divya: Chand Bali Aina k
[8/16/17, 10:26:24 PM] Divya: Emi chechi
[8/16/17, 10:48:25 PM] Tejaswini: ‎image omitted
[8/17/17, 7:12:50 PM] Tejaswini: ‎Contact card omitted
[8/17/17, 7:12:50 PM] Tejaswini: My new num
[8/17/17, 10:43:13 PM] Divya: K done
[8/18/17, 11:05:32 AM] Tejaswini: Der
[8/19/17, 8:59:16 AM] Divya: Der
[8/21/17, 1:27:38 PM] Tejaswini: Der pabbi
[8/21/17, 2:17:22 PM] Divya: Naa thalle Kallu thiragaldhe
[8/21/17, 2:19:05 PM] Tejaswini: Hahah no
[8/21/17, 2:19:35 PM] Tejaswini: Po they pothundi pranam anthey kadha ani full positive tho chesa 😝
[8/21/17, 10:08:56 PM] Divya: Eclipse chudadaniki janam
[8/29/17, 1:22:58 PM] Divya: Der
[8/30/17, 10:06:04 AM] Tejaswini: Chinnodiki happy 1st birthday 🎂🎂🎂🎂🎉🎉🎉
[8/31/17, 1:26:13 PM] Tejaswini: Der
[8/31/17, 2:01:43 PM] Divya: Chinnodu car
[8/31/17, 2:02:59 PM] Tejaswini: Super undhe
[8/31/17, 2:03:02 PM] Tejaswini: Vaadi car
[8/31/17, 2:04:46 PM] Tejaswini: Chinnodu kuda bagunade e pic lo
[8/31/17, 2:08:47 PM] Divya: 😊
[8/31/17, 2:34:50 PM] Divya: Audi logo baaga ochindhe
[8/31/17, 2:35:07 PM] Tejaswini: Yaaa
[8/31/17, 2:35:12 PM] Tejaswini: Chala bagundhi
[8/31/17, 9:42:43 PM] Tejaswini: I want to c ur saree
[8/31/17, 11:32:58 PM] Divya: No pics
[8/31/17, 11:33:37 PM] Tejaswini: Y
[8/31/17, 11:33:43 PM] Tejaswini: Not even single
[8/31/17, 11:34:04 PM] Divya: Inka soft copy teesukoldhu
[8/31/17, 11:34:21 PM] Divya: Ivi oka uncle teesaru
[8/31/17, 11:34:52 PM] Tejaswini: Ohoo k baga theeaaru pics normal phone lova
[8/31/17, 11:35:02 PM] Divya: Yaa
[8/31/17, 11:35:36 PM] Tejaswini: Chinarajappa meeku relatives aa
[8/31/17, 11:35:47 PM] Divya: Kadhe
[8/31/17, 11:35:56 PM] Divya: Maa daddy ki telusu
[8/31/17, 11:36:26 PM] Tejaswini: Mari bday ki kuda vasthey doubt vachindi
[8/31/17, 11:36:41 PM] Tejaswini: Avnu hw was d bday finally
[8/31/17, 11:41:36 PM] Divya: 👌🏻
[8/31/17, 11:42:04 PM] Divya: As usual naa koduku stage paina full crying
[8/31/17, 11:44:20 PM] Tejaswini: Guests andharu vachara
[8/31/17, 11:44:26 PM] Tejaswini: Wht abt fud
[8/31/17, 11:45:58 PM] Divya: Yaaa.. anukunna estimation Kante ekkuva ocharu.. Taste was gud anta..but last lo saripole
[8/31/17, 11:46:54 PM] Tejaswini: Ayyooo
[9/1/17, 9:41:53 AM] Tejaswini: Der
[9/1/17, 9:42:01 AM] Divya: Yes
[9/1/17, 9:42:09 AM] Tejaswini: Nuv thappa andharu kanipisthunaru aa pics lo
[9/1/17, 9:42:15 AM] Divya: Hahah
[9/1/17, 9:42:23 AM] Divya: Evaroo teesaru
[9/1/17, 9:42:57 AM] Tejaswini: Avnu nuv ela ready ayav vala dhaniki bhaga ayyava me dhanika
[9/1/17, 9:43:20 AM] Tejaswini: Decoration bhaga chesara
[9/1/17, 9:43:39 AM] Divya: Emoneee
[9/1/17, 9:43:53 AM] Divya: Haa.. adhi super
[9/1/17, 9:44:15 AM] Tejaswini: Ya adhe chala bagundi decoration
[9/1/17, 9:44:33 AM] Divya: Haa
[9/1/17, 9:44:51 AM] Divya: Cake kuda super
[9/1/17, 9:45:09 AM] Tejaswini: Avna long shot lo sariga kanipiyatledhu
[9/1/17, 9:45:32 AM] Tejaswini: Soft copies evaledha inka
[9/1/17, 10:00:07 AM] Divya: Ledhe
[9/1/17, 11:16:47 AM] Divya: Buddi Vespa
[9/1/17, 11:50:45 AM] Tejaswini: Cute undi
[9/1/17, 12:40:13 PM] Divya: Naa saree Ela under
[9/1/17, 1:07:26 PM] Tejaswini: Ekada kanipinchinde ne saree
[9/1/17, 1:10:54 PM] Tejaswini: Color ekkuvaga dark chesinde ninnu
[9/1/17, 1:11:04 PM] Tejaswini: Andhuke waiting for soft copies
[9/1/17, 1:11:07 PM] Divya: Hmm..
[9/2/17, 9:26:13 PM] Tejaswini: Pabbi chinnodu n me are matching matching
[9/2/17, 11:52:51 PM] Divya: Hehe
[9/3/17, 11:54:39 AM] Tejaswini: Hii
[9/3/17, 11:54:48 AM] Tejaswini: Soft copies vachaya ne
[9/3/17, 11:59:50 AM] Divya: Haq
[9/3/17, 12:42:06 PM] Divya: Ashish
[9/3/17, 12:42:34 PM] Divya: Naidupeta Naidu
[9/3/17, 2:16:49 PM] Divya: Der
[9/3/17, 11:35:16 PM] Tejaswini: Pabbi nice pics
[9/4/17, 3:56:26 AM] Divya: Haa.. adhi okkate bavundhi
[9/4/17, 9:20:58 AM] Tejaswini: Makeup baledhu
[9/5/17, 8:56:29 AM] Tejaswini: Der
[9/5/17, 10:42:51 AM] Divya: Yes
[9/5/17, 2:43:55 PM] Divya: Clg aipoyi??
[9/5/17, 2:51:08 PM] Tejaswini: No
[9/5/17, 2:51:16 PM] Tejaswini: Prasthutham kaali
[9/5/17, 2:52:40 PM] Divya: Hmm
[9/5/17, 2:52:54 PM] Divya: Andharu bojjuni
[9/5/17, 2:53:01 PM] Divya: Shhhhh
[9/5/17, 2:53:09 PM] Divya: 🙄
[9/5/17, 2:53:12 PM] Divya: 😬
[9/5/17, 2:54:15 PM] Divya: Inkaa
[9/5/17, 2:54:20 PM] Tejaswini: Ayyooo
[9/7/17, 11:37:58 AM] Tejaswini: Pabbi der
[9/12/17, 8:40:49 AM] Divya: Maa bava kuthuru
[9/12/17, 9:02:49 AM] Tejaswini: Avinash bava na
[9/12/17, 9:02:57 AM] Tejaswini: Chala bagundi
[9/12/17, 9:15:38 AM] Divya: Yaa
[9/15/17, 1:20:37 PM] Tejaswini: Hii pabbi
[9/15/17, 1:20:41 PM] Tejaswini: Wassup
[9/15/17, 1:33:18 PM] Divya: In big boss house😬
[9/15/17, 1:33:44 PM] Divya: For 15 days
[9/16/17, 8:40:14 PM] Tejaswini: Hii pabbi
[9/16/17, 10:31:46 PM] Divya: Hii ye
[9/24/17, 12:54:08 PM] Tejaswini: Pabbi der
[9/24/17, 1:26:27 PM] Divya: Hii ye
[9/24/17, 2:09:08 PM] Tejaswini: Bday photo shoot aa
[9/24/17, 2:09:19 PM] Divya: Yaa
[9/24/17, 2:09:30 PM] Tejaswini: Epudu vachaya pics??
[9/24/17, 2:09:55 PM] Divya: Ninna aindhi shoot
[9/24/17, 2:14:23 PM] Tejaswini: Ohhh avna
[9/24/17, 2:15:11 PM] Tejaswini: Antha bagundi kani nuvvu kncham bright dress yedhana vesinte bagundedhi
[9/24/17, 2:16:23 PM] Divya: Hmm... vaadini highlight cheyadaniki Memu light colour veyalsi ochindhi
[9/24/17, 2:20:54 PM] Tejaswini: But me dp pic and me vaadu super unnay
[9/24/17, 2:21:49 PM] Tejaswini: Pabbi ne hair chala perigindi ya
[9/24/17, 11:23:36 PM] Divya: Shannam aindhi baaga
[10/4/17, 11:34:26 PM] Divya: Hii ye
[10/13/17, 6:54:02 AM] Tejaswini: Hahaha pabbi whr did u get dis from
[10/13/17, 8:31:30 AM] Divya: Someone posted in d1group
[10/13/17, 8:31:54 AM] Divya: https://gitstats.otakud.in/c/12105101
[10/23/17, 11:24:33 PM] Divya: Hiiii ye
[10/29/17, 2:35:53 PM] Tejaswini: Pabbi wish u many many happy returns of day 🎂🎂🎂🎂🎂🎂
[10/29/17, 2:46:20 PM] Divya: Thanks da
[11/1/17, 7:46:06 AM] Divya: Der
[11/3/17, 10:50:38 AM] Divya: Ma aavida deyyam 😜
[11/3/17, 10:59:08 AM] Tejaswini: Hahaha pabbi
[11/3/17, 11:00:46 AM] Divya: Ha mi pabbi ney
[11/3/17, 11:01:49 AM] Divya: Evil pabbi
[11/5/17, 1:04:05 PM] Tejaswini: Der
[11/5/17, 1:04:23 PM] Divya: Yaaa
[11/5/17, 1:04:29 PM] Divya: Wat dng
[11/5/17, 1:04:39 PM] Tejaswini: Nthng reading
[11/5/17, 1:04:48 PM] Tejaswini: Taking break 😂😂😂
[11/5/17, 1:05:41 PM] Divya: Xams ahh??
[11/5/17, 1:06:25 PM] Tejaswini: Yes
[11/5/17, 1:06:36 PM] Tejaswini: Prathi week untondi mids
[11/5/17, 1:06:56 PM] Divya: Ohh
[11/5/17, 1:07:01 PM] Tejaswini: Bday cake ela undi
[11/5/17, 1:07:13 PM] Divya: Every Monday ahh??
[11/5/17, 1:07:27 PM] Divya: Yummy yummy😋
[11/5/17, 1:07:31 PM] Tejaswini: Monday n tueday kuda undi
[11/5/17, 1:07:37 PM] Divya: Ohh
[11/5/17, 1:07:50 PM] Tejaswini: Chusthey ne thelusthondi
[11/5/17, 1:08:14 PM] Divya: Nooo weekend parties ahh Nly xams ahh
[11/5/17, 1:10:07 PM] Tejaswini: Last week full party
[11/5/17, 1:10:21 PM] Tejaswini: E week studies mrng to aftrnun
[11/5/17, 1:11:53 PM] Divya: Ohh
[11/6/17, 12:21:43 PM] Divya: Der
[11/12/17, 12:17:18 AM] Divya: Der
[11/12/17, 8:47:41 AM] Tejaswini: Ya
[11/12/17, 9:33:48 PM] Divya: Madhuri ente
[11/12/17, 9:34:17 PM] Divya: Valla AYANA thappa andharitho digindhi
[11/19/17, 1:02:42 PM] Divya: Saw unnadhi okate jindagi movie na??
[11/19/17, 1:15:13 PM] Tejaswini: Yes
[11/19/17, 1:15:15 PM] Tejaswini: Y
[11/19/17, 1:16:02 PM] Divya: Andhulo Vasu character chesinodu Babbu Laga anipisthadu kadha
[11/19/17, 1:16:21 PM] Tejaswini: Vasu ante evaru
[11/19/17, 1:16:24 PM] Tejaswini: Frnd aaa
[11/19/17, 1:16:36 PM] Divya: Ya
[11/19/17, 1:16:40 PM] Divya: Sri Vishnu
[11/19/17, 1:17:54 PM] Tejaswini: Ohh no ne
[11/19/17, 1:18:04 PM] Tejaswini: Vishnu is completely diff
[11/19/17, 1:18:18 PM] Divya: Hmmm
[11/19/17, 3:06:09 PM] Divya: Character kadhe
[11/19/17, 3:06:17 PM] Divya: Chudataniki
[11/19/17, 3:06:23 PM] Divya: Style
[11/19/17, 3:06:28 PM] Divya: Silence
[11/24/17, 10:52:40 PM] Divya: Hey busy girl U der
[11/25/17, 12:15:39 PM] Tejaswini: Wow she is pretty
[11/25/17, 12:25:39 PM] Divya: Yo
[12/2/17, 8:14:06 AM] Tejaswini: Osey chinarajappa son is gud
[12/2/17, 8:14:18 AM] Tejaswini: Not that bad what u xplained
[12/2/17, 8:22:14 AM] Divya: 😯😯
[12/2/17, 8:23:25 AM] Divya: Pic lo Inka ala Aina unnadu
[12/2/17, 8:23:36 AM] Divya: Reality lo antha bagode
[12/2/17, 8:25:39 AM] Tejaswini: Prasanna husband kanna chala bagunade
[12/2/17, 8:26:03 AM] Divya: Haa...adhi nijame le
[12/2/17, 8:27:24 AM] Tejaswini: Hmm inkenti even amayi is too gud
[12/2/17, 8:27:35 AM] Divya: Yaaaa...
[12/15/17, 11:41:44 AM] Divya: Hello
[12/15/17, 11:42:11 AM] Divya: Call chesava teja
[12/15/17, 11:43:16 AM] Divya: Ramesh here
[12/15/17, 11:56:57 AM] Tejaswini: Ya I cald
[12/15/17, 11:57:03 AM] Tejaswini: Whr r u guys dng
[12/15/17, 11:58:25 AM] Divya: Em undi maku unnadu ga ma battayi gadu 😜😖
[12/15/17, 11:59:50 AM] Divya: Ni ms Ela saguthundi
[12/15/17, 12:00:58 PM] Tejaswini: Examssss
[12/15/17, 12:02:23 PM] Divya: Good
[12/15/17, 12:02:26 PM] Divya: Enjoy
[12/15/17, 12:02:36 PM] Divya: Mi pabbi came
[12/15/17, 12:03:18 PM] Divya: Hiiii ye
[12/15/17, 12:04:51 PM] Divya: Em dng
[12/22/17, 9:24:07 PM] Divya: Happy wedding anniversary🎉🎊🎂
[1/1/18, 9:33:28 AM] Divya: Happy New year
[1/1/18, 10:36:59 AM] Tejaswini: Happy new year pabbiiiiii🎉🎉🎉🎊🎊🎊
[1/3/18, 11:31:53 AM] Tejaswini: Pabbi der
[1/3/18, 12:37:07 PM] Divya: Hiii ye
[1/3/18, 1:46:04 PM] Tejaswini: R u free
[1/14/18, 1:19:40 AM] Tejaswini: Happy pongal pabbi 🎉🎉
[1/25/18, 8:01:53 AM] Tejaswini: Belated wedding anniversary pabbi 🎉🎉🎉🎉
[1/25/18, 8:05:15 AM] Divya: Thanq
[1/25/18, 8:17:25 AM] Tejaswini: Sry ye evala 24 th anukuntuna nenu
[1/25/18, 8:18:10 AM] Divya: Parledhe
[1/31/18, 11:54:17 AM] Tejaswini: Papaaa
[2/4/18, 10:37:59 PM] Tejaswini: *Etihad Airways is giving away 2 Free Tickets* to celebrate its 25th anniversary. Get your free ticets at : http://www.etihạd.com/  .
[2/4/18, 11:02:28 PM] Divya: Neeku ochaya
[2/5/18, 7:41:58 AM] Tejaswini: No
[2/6/18, 11:22:58 AM] Divya: Wat dng ma
[2/6/18, 11:39:52 AM] Tejaswini: Papa der
[2/13/18, 10:33:58 AM] Divya: Der??
[2/14/18, 6:33:40 AM] Tejaswini: Who r they
[2/14/18, 7:05:18 AM] Divya: Mana senior undedhi kadha
[2/14/18, 7:05:20 AM] Divya: Nithya
[2/14/18, 7:05:33 AM] Divya: Neetho jil table cheppinchindhi
[2/14/18, 7:25:01 AM] Tejaswini: Thanu commited kadha evarithono
[2/14/18, 7:25:32 AM] Divya: Hmm Adhi break up tho
[2/14/18, 7:25:46 AM] Divya: Tarwatha varenya gurthunnada
