LineId,DateTime,Name,message
1,"[8/12/17, 10:26:47 AM",Divya, <NASCII>Missed voice call
2,"[8/13/17, 10:01:38 AM",Divya, Em dng
3,"[8/14/17, 1:33:10 PM",Divya, Emi chechi
4,"[8/14/17, 1:33:28 PM",Tejaswini, <NASCII>image omitted
5,"[8/14/17, 1:33:39 PM",Divya, Ohh
6,"[8/14/17, 1:33:53 PM",Divya, Emi spcl
7,"[8/14/17, 5:08:04 PM",Tejaswini, Pabbi
8,"[8/14/17, 11:14:28 PM",Divya, Haa
9,"[8/15/17, 1:28:06 PM",Divya, <NASCII>Missed voice call
10,"[8/15/17, 1:40:02 PM",Tejaswini, Der pabbi
11,"[8/15/17, 2:08:42 PM",Divya, <NASCII>Missed voice call
12,"[8/15/17, 2:37:30 PM",Divya, Msg me
13,"[8/15/17, 2:38:05 PM",Divya, Vanuku osthundhi naaku
14,"[8/15/17, 2:39:22 PM",Divya, Der
15,"[8/15/17, 2:39:30 PM",Tejaswini, Hahhaha endhaka by mistake cal vachindi
16,"[8/15/17, 2:39:47 PM",Tejaswini, Ne bondha le em bhayapadalu
17,"[8/15/17, 2:40:04 PM",Tejaswini, Pabbi paina pics lo oka pic lo super unnav
18,"[8/15/17, 2:40:09 PM",Divya, Hmm..
19,"[8/15/17, 2:40:14 PM",Divya, Edhi
20,"[8/15/17, 2:40:32 PM",Tejaswini, <NASCII>image omitted
21,"[8/15/17, 2:40:47 PM",Tejaswini, Chala homely n near ga unnav
22,"[8/15/17, 2:40:56 PM",Divya, Haaa Naaku nachindhe
23,"[8/15/17, 2:41:22 PM",Divya, Asala matter cheppale
24,"[8/15/17, 2:41:48 PM",Divya, Nenu ear rings konukundham anukuntna
25,"[8/15/17, 2:41:59 PM",Divya, Any models
26,"[8/15/17, 2:42:18 PM",Divya, Like buttalu and all
27,"[8/15/17, 2:42:24 PM",Divya, Cz vi
28,"[8/15/17, 2:42:50 PM",Tejaswini, Wait
29,"[8/15/17, 2:42:59 PM",Tejaswini, Evala mrng ye chusa
30,"[8/15/17, 2:43:06 PM",Divya, K
31,"[8/15/17, 2:47:59 PM",Tejaswini, <NASCII>image omitted
32,"[8/15/17, 2:48:00 PM",Tejaswini, <NASCII>image omitted
33,"[8/15/17, 2:48:10 PM",Tejaswini, E typ kavala czts ante
34,"[8/15/17, 2:49:36 PM",Divya, Yaa
35,"[8/15/17, 2:51:40 PM",Divya, Chand Bali Aina k
36,"[8/16/17, 10:26:24 PM",Divya, Emi chechi
37,"[8/16/17, 10:48:25 PM",Tejaswini, <NASCII>image omitted
38,"[8/17/17, 7:12:50 PM",Tejaswini, <NASCII>Contact card omitted
39,"[8/17/17, 7:12:50 PM",Tejaswini, My new num
40,"[8/17/17, 10:43:13 PM",Divya, K done
41,"[8/18/17, 9:52:58 AM",Divya, <NASCII>Missed voice call
42,"[8/18/17, 11:05:32 AM",Tejaswini, Der
43,"[8/19/17, 8:59:16 AM",Divya, Der
44,"[8/21/17, 1:27:38 PM",Tejaswini, Der pabbi
45,"[8/21/17, 1:37:33 PM",Tejaswini, <NASCII>video omitted
46,"[8/21/17, 1:57:19 PM",Divya, <NASCII>Missed voice call
47,"[8/21/17, 2:15:49 PM",Tejaswini, <NASCII>image omitted
48,"[8/21/17, 2:17:22 PM",Divya, Naa thalle Kallu thiragaldhe
49,"[8/21/17, 2:19:05 PM",Tejaswini, Hahah no
50,"[8/21/17, 2:19:35 PM",Tejaswini, Po they pothundi pranam anthey kadha ani full positive tho chesa <NASCII>
51,"[8/21/17, 2:43:39 PM",Tejaswini, <NASCII>image omitted
52,"[8/21/17, 2:43:39 PM",Tejaswini, <NASCII>image omitted
53,"[8/21/17, 10:08:56 PM",Divya, Eclipse chudadaniki janam
54,"[8/29/17, 1:22:58 PM",Divya, Der
55,"[8/30/17, 10:06:04 AM",Tejaswini, Chinnodiki happy 1st birthday <NASCII>
56,"[8/31/17, 1:26:13 PM",Tejaswini, Der
57,"[8/31/17, 1:59:35 PM",Divya, <NASCII>image omitted
58,"[8/31/17, 2:01:43 PM",Divya, Chinnodu car
59,"[8/31/17, 2:02:59 PM",Tejaswini, Super undhe
60,"[8/31/17, 2:03:02 PM",Tejaswini, Vaadi car
61,"[8/31/17, 2:04:46 PM",Tejaswini, Chinnodu kuda bagunade e pic lo
62,"[8/31/17, 2:08:47 PM",Divya, <NASCII>
63,"[8/31/17, 2:34:50 PM",Divya, Audi logo baaga ochindhe
64,"[8/31/17, 2:35:07 PM",Tejaswini, Yaaa
65,"[8/31/17, 2:35:12 PM",Tejaswini, Chala bagundhi
66,"[8/31/17, 8:51:52 PM",Divya, <NASCII>image omitted
67,"[8/31/17, 8:51:52 PM",Divya, <NASCII>image omitted
68,"[8/31/17, 8:51:53 PM",Divya, <NASCII>image omitted
69,"[8/31/17, 8:51:54 PM",Divya, <NASCII>image omitted
70,"[8/31/17, 8:51:54 PM",Divya, <NASCII>image omitted
71,"[8/31/17, 9:42:43 PM",Tejaswini, I want to c ur saree
72,"[8/31/17, 11:32:58 PM",Divya, No pics
73,"[8/31/17, 11:33:37 PM",Tejaswini, Y
74,"[8/31/17, 11:33:43 PM",Tejaswini, Not even single
75,"[8/31/17, 11:34:04 PM",Divya, Inka soft copy teesukoldhu
76,"[8/31/17, 11:34:21 PM",Divya, Ivi oka uncle teesaru
77,"[8/31/17, 11:34:52 PM",Tejaswini, Ohoo k baga theeaaru pics normal phone lova
78,"[8/31/17, 11:35:02 PM",Divya, Yaa
79,"[8/31/17, 11:35:36 PM",Tejaswini, Chinarajappa meeku relatives aa
80,"[8/31/17, 11:35:47 PM",Divya, Kadhe
81,"[8/31/17, 11:35:56 PM",Divya, Maa daddy ki telusu
82,"[8/31/17, 11:36:26 PM",Tejaswini, Mari bday ki kuda vasthey doubt vachindi
83,"[8/31/17, 11:36:41 PM",Tejaswini, Avnu hw was d bday finally
